# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=90
# for k=1.05468e-05 to 0.204988 h/Mpc,
# number of wavenumbers equal to 75
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.054684960093e-05      -1.785042671773e-05      -1.338788449424e-05      -1.338788494171e-05      -1.785041749580e-05       4.040656435906e-09       7.650050479959e-12      -1.350392513972e-05       6.113115239391e-01       5.971455020922e-01       2.677576988343e-05       3.415153810880e-08       9.999995426854e-01      -2.862605577756e-10       9.706986435416e-10      -4.621675225918e-13      -1.835416540087e-13      -1.280587168389e-16      -1.943173484102e-13      -6.487678919695e-15 
       1.327769697698e-05      -2.829093530480e-05      -2.121836338442e-05      -2.121836450840e-05      -2.829091214042e-05       6.404011535624e-09       1.212454086329e-11      -2.140227355843e-05       6.113113286277e-01       5.971453734272e-01       4.243672901680e-05       5.412652484097e-08       9.999992752056e-01      -4.536898911935e-10       1.538447929323e-09      -7.324845350233e-13      -4.610348595805e-13      -3.216661860782e-16      -4.881019863800e-13      -1.629627747719e-14 
       1.671563013442e-05      -4.483789863067e-05      -3.362883066116e-05      -3.362883348448e-05      -4.483784044469e-05       1.014965215574e-08       1.921599334487e-11      -3.392030398476e-05       6.113110190277e-01       5.971451698725e-01       6.725766696895e-05       8.578472184064e-08       9.999988512792e-01      -7.190500983202e-10       2.438261196034e-09      -1.160905688620e-12      -1.158063350320e-12      -8.079970306671e-16      -1.226052169689e-12      -4.093425645092e-14 
       2.104373155038e-05      -7.106274541592e-05      -5.329808061297e-05      -5.329808770479e-05      -7.106259926056e-05       1.608610189650e-08       3.045527027351e-11      -5.376002298287e-05       6.113105114395e-01       5.971448299632e-01       1.065961754096e-04       1.359595294703e-07       9.999981794037e-01      -1.139612006507e-09       3.864347243001e-09      -1.839901208780e-12      -2.908908370819e-12      -2.029593718768e-15      -3.079685686819e-12      -1.028216377133e-13 
       2.649248840774e-05      -1.126255211277e-04      -8.447170685679e-05      -8.447172467937e-05      -1.126251541720e-04       2.549463518430e-08       4.826835587756e-11      -8.520380677407e-05       6.113095302499e-01       5.971442576553e-01       1.689434493587e-04       2.154810917925e-07       9.999971139407e-01      -1.806134177301e-09       6.124460426926e-09      -2.916035252088e-12      -7.306793660109e-12      -5.099091686826e-15      -7.735555190024e-12      -2.582715924077e-13 
       3.335206687817e-05      -1.784960489965e-04      -1.338784822547e-04      -1.338785270508e-04      -1.784951279316e-04       4.040617515892e-08       7.650075704640e-11      -1.350387085572e-04       6.113079747348e-01       5.971433209488e-01       2.677570541017e-04       3.415139261703e-07       9.999954244795e-01      -2.862446659200e-09       9.706329274934e-09      -4.621570130354e-12      -1.835364546603e-11      -1.281049559862e-14      -1.942980670870e-11      -6.487308705544e-13 
       4.198776452879e-05      -2.828886957936e-04      -2.121827120392e-04      -2.121828245886e-04      -2.828863829362e-04       6.403928385051e-08       1.212446768578e-10      -2.140213612003e-04       6.113058446560e-01       5.971419277370e-01       4.243656491771e-04       5.412616323431e-07       9.999927474846e-01      -4.536552204940e-09       1.538288751507e-08      -7.324548514061e-12      -4.610136873916e-11      -3.218111138138e-14      -4.880359497809e-11      -1.629493906850e-12 
       5.285946374972e-05      -4.483270564239e-04      -3.362859594113e-04      -3.362862421414e-04      -4.483212477794e-04       1.014949667763e-07       1.921586611062e-10      -3.391995556000e-04       6.113025742923e-01       5.971397394953e-01       6.725724842827e-04       8.578382510633e-07       9.999885051683e-01      -7.189686925285e-09       2.437876921155e-08      -1.160822504360e-11      -1.157976364492e-10      -8.083573357417e-14      -1.225838205443e-10      -4.092952952807e-12 
       6.654612216834e-05      -7.104969758899e-04      -5.329748795748e-04      -5.329755897799e-04      -7.104823871442e-04       1.608578102102e-07       3.045496419101e-10      -5.375914470299e-04       6.112974468145e-01       5.971362982854e-01       1.065951179560e-03       1.359572882080e-06       9.999817819421e-01      -1.139424721131e-08       3.863410051824e-08      -1.839676993215e-11      -2.908552926504e-10      -2.030537870461e-13      -3.078977670453e-10      -1.028045837458e-11 
       8.377660425408e-05      -1.125927338841e-03      -8.447020736264e-04      -8.447038575873e-04      -1.125890699259e-03       2.549407675134e-07       4.826718884496e-10      -8.520158977541e-04       6.112893148692e-01       5.971308257050e-01       1.689407715175e-03       2.154755023026e-06       9.999711269745e-01      -1.805707907943e-08       6.122179046505e-08      -2.915432166383e-11      -7.305348020581e-10      -5.100381114360e-13      -7.733311577108e-10      -2.582108008998e-11 
