# Matter power spectrum P(k) at redshift z=0
# for k=1.03008e-05 to 32.6088 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030083293944e-05       5.582964234995e+01 
       1.296798035011e-05       6.967135032346e+01 
       1.632572000240e-05       8.694471917602e+01 
       2.055286377685e-05       1.085004456835e+02 
       2.587452249383e-05       1.354000735960e+02 
       3.257409388552e-05       1.689681403033e+02 
       4.100835455865e-05       2.108569778494e+02 
       5.162645964974e-05       2.631280834026e+02 
       6.499386197403e-05       3.283523885416e+02 
       8.182242444975e-05       4.097351288360e+02 
       1.030083293944e-04       5.112702798726e+02 
       1.296798035011e-04       6.379301556141e+02 
       1.632572000240e-04       7.958968205541e+02 
       2.055286377685e-04       9.928404641792e+02 
       2.587452249383e-04       1.238247245663e+03 
       3.257409388552e-04       1.543794241855e+03 
       4.100835455865e-04       1.923757937591e+03 
       5.162645964974e-04       2.395430593470e+03 
       6.499386197403e-04       2.979503573768e+03 
       8.182242444975e-04       3.700352078956e+03 
       1.030083293944e-03       4.586076064958e+03 
       1.296798035011e-03       5.667976406760e+03 
       1.632572000240e-03       6.979060733995e+03 
       2.055286377685e-03       8.551230760310e+03 
       2.587452249383e-03       1.041045184656e+04 
       3.257409388552e-03       1.256949281807e+04 
       4.100835455865e-03       1.501807840319e+04 
       5.162645964974e-03       1.770951977302e+04 
       6.499386197403e-03       2.054451826166e+04 
       8.182242444975e-03       2.335344065356e+04 
       1.030083293944e-02       2.587837824935e+04 
       1.296798035011e-02       2.776270821746e+04 
       1.632572000238e-02       2.856546661088e+04 
       2.055286367344e-02       2.784462298388e+04 
       2.587443398161e-02       2.537316124227e+04 
       3.256061612577e-02       2.149409691668e+04 
       4.051992114022e-02       1.748997899228e+04 
       4.740674887666e-02       1.511050580962e+04 
       5.237293260475e-02       1.394778242325e+04 
       5.643976216693e-02       1.322883213347e+04 
       6.005748950045e-02       1.268950954764e+04 
       6.342443371587e-02       1.222096556689e+04 
       6.664456422611e-02       1.176912996263e+04 
       6.977979756534e-02       1.130499891138e+04 
       7.287059645459e-02       1.081461598392e+04 
       7.594536209586e-02       1.029419700595e+04 
       7.902521308484e-02       9.747552249808e+03 
       8.212662859375e-02       9.184220344782e+03 
       8.526300879212e-02       8.617573922174e+03 
       8.844564536618e-02       8.063011593204e+03 
       9.168435132178e-02       7.536118910782e+03 
       9.498788422362e-02       7.050800953105e+03 
       9.836423895999e-02       6.617922590574e+03 
       1.018208551303e-01       6.244005650223e+03 
       1.053647668131e-01       5.930751995475e+03 
       1.090027123752e-01       5.674461593253e+03 
       1.127412158956e-01       5.466374769537e+03 
       1.165866480054e-01       5.293278685045e+03 
       1.205452715426e-01       5.138481694517e+03 
       1.246232758681e-01       4.983926715418e+03 
       1.288268026658e-01       4.812960056927e+03 
       1.331619653711e-01       4.613405707732e+03 
       1.376348639200e-01       4.380670173305e+03 
       1.422515962108e-01       4.118983178525e+03 
       1.470182674727e-01       3.840986570224e+03 
       1.519409986055e-01       3.564476415598e+03 
       1.570259344755e-01       3.308144292783e+03 
       1.622792530973e-01       3.087093835360e+03 
       1.677071766045e-01       2.908622685375e+03 
       1.733159848861e-01       2.770779741870e+03 
       1.791120327566e-01       2.662569774319e+03 
       1.851017715165e-01       2.567412191006e+03 
       1.912917757557e-01       2.467073864565e+03 
       1.976887762547e-01       2.346985220312e+03 
       2.042996998514e-01       2.204256886068e+03 
       2.111317171722e-01       2.048557110257e+03 
       2.181922991822e-01       1.896189976754e+03 
       2.254892836037e-01       1.761872956216e+03 
       2.330309523977e-01       1.653360145257e+03 
       2.408261217128e-01       1.569001448938e+03 
       2.488842460073e-01       1.497775479578e+03 
       2.572155384585e-01       1.425366237323e+03 
       2.658311103297e-01       1.342943922018e+03 
       2.747431327030e-01       1.251478191210e+03 
       2.839650249648e-01       1.160339899821e+03 
       2.935116757268e-01       1.080502094789e+03 
       3.033997035766e-01       1.015434669119e+03 
       3.136477673358e-01       9.598916024376e+02 
       3.242769385644e-01       9.053545104158e+02 
       3.353111531997e-01       8.466091039017e+02 
       3.467777649052e-01       7.865313954445e+02 
       3.587082306125e-01       7.312566070793e+02 
       3.711389698744e-01       6.837861249104e+02 
       3.841124556017e-01       6.408366895491e+02 
       3.976786169814e-01       5.978871344086e+02 
       4.118966698306e-01       5.545914546119e+02 
       4.268375417879e-01       5.140145997346e+02 
       4.425871404237e-01       4.773317413045e+02 
       4.592508402378e-01       4.427446380723e+02 
       4.769597727656e-01       4.085072124635e+02 
       4.958798534532e-01       3.757460249494e+02 
       5.162250853996e-01       3.453383460141e+02 
       5.382777732196e-01       3.158224043193e+02 
       5.624203374013e-01       2.871962052322e+02 
       5.891874846215e-01       2.598265835368e+02 
       6.193559815181e-01       2.329970046391e+02 
       6.541081663376e-01       2.067464087706e+02 
       6.953503206930e-01       1.806239109823e+02 
       7.463817280337e-01       1.543086429862e+02 
       8.134149882911e-01       1.272348337124e+02 
       9.091731521721e-01       9.886060394874e+01 
       1.059823984880e+00       6.952006592700e+01 
       1.300901221876e+00       4.309130178184e+01 
       1.634369433993e+00       2.506496549079e+01 
       2.057478776046e+00       1.438023392222e+01 
       2.590212022465e+00       8.182515862628e+00 
       3.260883736840e+00       4.621234831418e+00 
       4.105209401214e+00       2.591708610746e+00 
       5.168152435925e+00       1.444242588215e+00 
       6.506318433612e+00       8.001128617880e-01 
       8.190969613298e+00       4.408297706725e-01 
       1.031181979342e+01       2.416897666970e-01 
       1.298181197977e+01       1.319367766288e-01 
       1.634313299247e+01       7.171522622937e-02 
       2.057478543255e+01       3.882919715689e-02 
       2.590212022325e+01       2.094350767883e-02 
       3.260883736840e+01       1.125535268874e-02 
