# Matter power spectrum P(k) at redshift z=1
# for k=1.03008e-05 to 32.6088 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030083293944e-05       1.984782132391e+01 
       1.296798035011e-05       2.476863652203e+01 
       1.632572000240e-05       3.090945123231e+01 
       2.055286377685e-05       3.857267775850e+01 
       2.587452249383e-05       4.813570536379e+01 
       3.257409388552e-05       6.006943293700e+01 
       4.100835455865e-05       7.496136263067e+01 
       5.162645964974e-05       9.354441002860e+01 
       6.499386197403e-05       1.167327135874e+02 
       8.182242444975e-05       1.456660750822e+02 
       1.030083293944e-04       1.817649625822e+02 
       1.296798035011e-04       2.267982361079e+02 
       1.632572000240e-04       2.829521477416e+02 
       2.055286377685e-04       3.529773172416e+02 
       2.587452249383e-04       4.402433897703e+02 
       3.257409388552e-04       5.489122263461e+02 
       4.100835455865e-04       6.840760136829e+02 
       5.162645964974e-04       8.519041262243e+02 
       6.499386197403e-04       1.059770102071e+03 
       8.182242444975e-04       1.316332103791e+03 
       1.030083293944e-03       1.631532350841e+03 
       1.296798035011e-03       2.016442770363e+03 
       1.632572000240e-03       2.482773805690e+03 
       2.055286377685e-03       3.041810604430e+03 
       2.587452249383e-03       3.702687190153e+03 
       3.257409388552e-03       4.469804970341e+03 
       4.100835455865e-03       5.339309605004e+03 
       5.162645964974e-03       6.294340187770e+03 
       6.499386197403e-03       7.299330666745e+03 
       8.182242444975e-03       8.293388432051e+03 
       1.030083293944e-02       9.184723211069e+03 
       1.296798035011e-02       9.846373634275e+03 
       1.632572000238e-02       1.012205493138e+04 
       2.055286367344e-02       9.856273899439e+03 
       2.587443398161e-02       8.971422214383e+03 
       3.256061612577e-02       7.593339501228e+03 
       4.051992114022e-02       6.178140143200e+03 
       4.740674887666e-02       5.339820775678e+03 
       5.237293260475e-02       4.930395822696e+03 
       5.643976216693e-02       4.676942403168e+03 
       6.005748950045e-02       4.486625563377e+03 
       6.342443371587e-02       4.321330085488e+03 
       6.664456422611e-02       4.162249940731e+03 
       6.977979756534e-02       3.999375283108e+03 
       7.287059645459e-02       3.827927677003e+03 
       7.594536209586e-02       3.646666541485e+03 
       7.902521308484e-02       3.456949255591e+03 
       8.212662859375e-02       3.262063436033e+03 
       8.526300879212e-02       3.066579898402e+03 
       8.844564536618e-02       2.875707710668e+03 
