# Matter power spectrum P(k) at redshift z=0.5
# for k=1.02704e-05 to 32.5129 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027040460111e-05       3.285275100379e+01 
       1.292967334174e-05       4.099785216671e+01 
       1.627749433612e-05       5.116230462873e+01 
       2.049215126008e-05       6.384671186376e+01 
       2.579808996364e-05       7.967572766240e+01 
       3.247787103098e-05       9.942877503800e+01 
       4.088721716187e-05       1.240782628320e+02 
       5.147395670263e-05       1.548372946757e+02 
       6.480187213853e-05       1.932188747090e+02 
       8.158072356703e-05       2.411094014131e+02 
       1.027040460111e-04       3.008596554841e+02 
       1.292967334174e-04       3.753966649022e+02 
       1.627749433612e-04       4.683231918080e+02 
       2.049215126008e-04       5.842096364672e+02 
       2.579808996364e-04       7.286170822215e+02 
       3.247787103098e-04       9.084219779506e+02 
       4.088721716187e-04       1.132033259575e+03 
       5.147395670263e-04       1.409634733626e+03 
       6.480187213853e-04       1.753400558416e+03 
       8.158072356703e-04       2.177644825823e+03 
       1.027040460111e-03       2.698839839969e+03 
       1.292967334174e-03       3.335340229047e+03 
       1.627749433612e-03       4.106509205402e+03 
       2.049215126008e-03       5.030998997716e+03 
       2.579808996364e-03       6.123924369086e+03 
       3.247787103098e-03       7.392552506252e+03 
       4.088721716187e-03       8.830492219313e+03 
       5.147395670263e-03       1.040982875902e+04 
       6.480187213853e-03       1.207163107281e+04 
       8.158072356703e-03       1.371532636673e+04 
       1.027040460111e-02       1.518896781341e+04 
       1.292967334174e-02       1.628285663044e+04 
       1.627749433611e-02       1.673889561937e+04 
       2.049215116646e-02       1.630023170332e+04 
       2.579800785016e-02       1.483805831363e+04 
       3.246511512478e-02       1.255805437720e+04 
       4.041668831353e-02       1.020870245388e+04 
       4.733358203115e-02       8.809676696872e+03 
       5.231649737221e-02       8.128832145847e+03 
       5.639114613827e-02       7.709228055728e+03 
       6.001307078055e-02       7.395335426308e+03 
       6.338244270276e-02       7.123672860660e+03 
       6.660400000160e-02       6.862879585736e+03 
       6.974003110464e-02       6.596321571307e+03 
       7.283119977724e-02       6.315988003789e+03 
       7.590602507610e-02       6.019711973969e+03 
       7.898569899698e-02       5.709658248071e+03 
       8.208674858095e-02       5.391142402242e+03 
       8.522260633924e-02       5.071678353924e+03 
       8.840458640874e-02       4.759775269888e+03 
       9.164251770047e-02       4.464062876883e+03 
       9.494516921436e-02       4.192190559988e+03 
       9.832054414073e-02       3.950048706503e+03 
       1.017760881375e-01       3.741091003406e+03 
       1.053188397078e-01       3.566121725890e+03 
       1.089555404368e-01       3.422911165548e+03 
       1.126927167241e-01       3.306521800487e+03 
       1.165367408481e-01       3.209564344783e+03 
       1.204938767884e-01       3.122820436607e+03 
       1.245703146676e-01       3.036420861970e+03 
       1.287721966453e-01       2.941225666656e+03 
       1.331056364168e-01       2.830653371426e+03 
       1.375767340127e-01       2.702271719592e+03 
       1.421915872951e-01       2.558392051713e+03 
       1.469563013454e-01       2.405892942089e+03 
       1.518769968115e-01       2.254466594603e+03 
       1.569598181978e-01       2.114184274540e+03 
       1.622109430303e-01       1.993056492736e+03 
       1.676365927985e-01       1.894942973373e+03 
       1.732430465524e-01       1.818701251897e+03 
       1.790366580218e-01       1.758376889563e+03 
       1.850238771154e-01       1.705114345604e+03 
       1.912112766516e-01       1.649224564342e+03 
       1.976055851763e-01       1.582952294095e+03 
       2.042137267350e-01       1.504824796295e+03 
       2.110428684973e-01       1.419918542969e+03 
       2.181004771879e-01       1.336878084079e+03 
       2.253943853717e-01       1.263388826773e+03 
       2.329328687856e-01       1.203436123870e+03 
       2.407247361172e-01       1.156103365942e+03 
       2.487794329341e-01       1.115653572645e+03 
       2.571071618684e-01       1.074673332097e+03 
       2.657190217222e-01       1.028612313242e+03 
       2.746271688880e-01       9.779779211997e+02 
       2.838450054603e-01       9.275706926004e+02 
       2.933873996976e-01       8.829366538365e+02 
       3.032709462092e-01       8.458131789980e+02 
       3.135142755060e-01       8.135269182290e+02 
       3.241384256123e-01       7.817976357300e+02 
       3.351672925634e-01       7.480402345438e+02 
       3.466281822807e-01       7.136563917421e+02 
       3.585524941869e-01       6.816537466711e+02 
       3.709765780119e-01       6.534767572488e+02 
       3.839428211180e-01       6.275145906801e+02 
       3.975010467839e-01       6.015783228975e+02 
       4.117103381679e-01       5.754873689492e+02 
       4.266414545326e-01       5.506681126111e+02 
       4.423800865340e-01       5.276428107466e+02 
       4.590313244920e-01       5.055526252971e+02 
       4.767259204787e-01       4.835718131491e+02 
