# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05468e-05 to 33.386 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.054684960093e-05      -1.309362156339e-03      -9.825347170733e-04      -9.825347505333e-04      -1.309341653160e-03       6.059881388109e-08       5.847269991446e-12      -3.067161847164e-04       4.806784075178e-01       4.805366164641e-01       1.965069501067e-03       2.341493247988e-07       9.999983789287e-01      -2.675315057459e-11       1.549273769380e-10      -2.771356627997e-14      -1.437521393772e-10      -2.164777155571e-15      -1.468752180720e-10      -5.711847077965e-14 
       1.327769697698e-05      -2.074563509484e-03      -1.557211299193e-03      -1.557211383237e-03      -2.074512020669e-03       9.604263553706e-08       9.267336550309e-12      -4.861119413151e-04       4.806779264632e-01       4.805361986070e-01       3.114422766473e-03       3.711012828707e-07       9.999974308616e-01      -4.239179822309e-11       2.454525564062e-10      -4.390766878496e-14      -3.610121382125e-10      -5.437231402089e-15      -3.688533923735e-10      -1.434443596396e-13 
       1.671563013442e-05      -3.286365399852e-03      -2.468010313166e-03      -2.468010524260e-03      -3.286236116537e-03       1.522170695721e-07       1.468756757461e-11      -7.704343573187e-04       4.806770256315e-01       4.805353979050e-01       4.936021048519e-03       5.881550791038e-07       9.999959283980e-01      -6.716365250194e-11       3.887881084634e-10      -6.955036074985e-14      -9.065153366189e-10      -1.365605783421e-14      -9.261975718917e-10      -3.601935576061e-13 
       2.104373155038e-05      -5.204531415155e-03      -3.911524816350e-03      -3.911525346528e-03      -5.204206876081e-03       2.412463246947e-07       2.327769585167e-11      -1.221053374102e-03       4.806755575582e-01       4.805340883826e-01       7.823050693055e-03       9.321609998975e-07       9.999935474998e-01      -1.063899301204e-10       6.156154308293e-10      -1.101329969108e-13      -2.275845999225e-09      -3.429533518877e-14      -2.325228764721e-09      -9.042783971483e-13 
       2.649248840774e-05      -8.238570275330e-03      -6.199328503768e-03      -6.199329835285e-03      -8.237755898262e-03       3.823487830609e-07       3.689230424794e-11      -1.935231964261e-03       4.806734473399e-01       4.805322292375e-01       1.239865967057e-02       1.477370032097e-06       9.999897742296e-01      -1.684728351855e-10       9.742486267392e-10      -1.743058491577e-13      -5.711820645577e-09      -8.611938077101e-14      -5.835638359442e-09      -2.269506925355e-12 
       3.335206687817e-05      -1.303203121092e-02      -9.825222440557e-03      -9.825225784193e-03      -1.302998890860e-02       6.059782605004e-07       5.847023835342e-11      -3.067118004551e-03       4.806701725258e-01       4.805293516350e-01       1.965045156839e-02       2.341459357274e-06       9.999837952578e-01      -2.666505694382e-10       1.540478691141e-09      -2.756462703991e-13      -1.432817824567e-08      -2.162127794748e-13      -1.463829134085e-08      -5.693038703552e-12 
       4.198776452879e-05      -2.059116572866e-02      -1.557179967338e-02      -1.557180806842e-02      -2.058604858884e-02       9.604034462139e-07       9.266943678158e-11      -4.861009303567e-03       4.806650536098e-01       4.805248605497e-01       3.114361613684e-02       3.710926493114e-06       9.999743248794e-01      -4.217078741330e-10       2.432470882495e-09      -4.353417066197e-13      -3.591418005308e-08      -5.426755757876e-13      -3.668959762596e-08      -1.426964996759e-11 
       5.285946374972e-05      -3.247659399462e-02      -2.467931725475e-02      -2.467933832688e-02      -3.246379125942e-02       1.522116117250e-06       1.468686916623e-10      -7.704067432251e-03       4.806568015773e-01       4.805175992857e-01       4.935867665377e-02       5.881332209826e-06       9.999593286354e-01      -6.660956823903e-10       3.832631688125e-09      -6.861464442754e-13      -8.990833905303e-08      -1.361445814656e-12      -9.184204520725e-08      -3.572220108450e-11 
       6.654612216834e-05      -5.107682358977e-02      -3.911327345112e-02      -3.911332632070e-02      -5.104486640665e-02       2.412340545678e-06       2.327665290043e-10      -1.220984023073e-02       4.806437919044e-01       4.805061492019e-01       7.822665264141e-02       9.321056996268e-06       9.999355936804e-01      -1.050023551924e-09       6.017965192393e-09      -1.077923502104e-12      -2.246347146675e-07      -3.413021425625e-12      -2.294363572845e-07      -8.924843403677e-11 
       8.377660425408e-05      -7.996786787581e-02      -6.198833299308e-02      -6.198846555148e-02      -7.988839346470e-02       3.823171203116e-06       3.688952149323e-10      -1.935058151702e-02       4.806231725066e-01       4.804879749945e-01       1.239769311030e-01       1.477231404777e-05       9.998980572532e-01      -1.650041910304e-09       9.397713381937e-09      -1.684651153149e-12      -5.594943984211e-07      -8.546276478919e-12      -5.713363491690e-07      -2.222780074159e-10 
       1.054684960093e-04      -1.243057989820e-01      -9.823980422137e-02      -9.824013622760e-02      -1.241093095874e-01       6.058988406090e-06       5.846195951530e-10      -3.066682519037e-02       4.805906168126e-01       4.804592286717e-01       1.964802724552e-01       2.341112482395e-05       9.998387677594e-01      -2.580038757988e-09       1.454798997311e-08      -2.611276198386e-12      -1.386638586180e-06      -2.136099451949e-11      -1.415525429350e-06      -5.508428014928e-10 
       1.327769697698e-04      -1.910348916453e-01      -1.556868700098e-01      -1.556877001555e-01      -1.905536153619e-01       9.602024155146e-06       9.264583587716e-10      -4.859919703934e-02       4.805393858441e-01       4.804138723871e-01       3.113754003109e-01       3.710059672554e-05       9.997453014493e-01      -4.002485374103e-09       2.220876454038e-08      -3.994714953675e-12      -3.409762521300e-06      -5.323770440832e-11      -3.478990129009e-06      -1.354350544629e-09 
       1.671563013442e-04      -2.882973984959e-01      -2.467152496593e-01      -2.467173198019e-01      -2.871360426589e-01       1.521612819621e-05       1.468094485843e-09      -7.701346751214e-02       4.804591599892e-01       4.803425601596e-01       4.934346396039e-01       5.879166912315e-05       9.995984051885e-01      -6.132099450358e-09       3.315231296038e-08      -5.983764266593e-12      -8.281216522419e-06      -1.320835061926e-10      -8.442363685652e-06      -3.288594569603e-09 
       2.104373155038e-04      -4.226279648497e-01      -3.909380380269e-01      -3.909431787209e-01      -4.198918125446e-01       2.411080820528e-05       2.326160506596e-09      -1.220306942977e-01       4.803342356140e-01       4.802308107318e-01       7.818863574417e-01       9.315666143332e-05       9.993686182214e-01      -9.211208272169e-09       4.772469229374e-08      -8.664155415995e-12      -1.972168766041e-05      -3.253867513138e-10      -2.007891164322e-05      -7.829200911468e-09 
       2.649248840774e-04      -5.913528683212e-01      -6.193982984059e-01      -6.194109805244e-01      -5.851509814194e-01       3.820034904123e-05       3.685225217265e-09      -1.933381589665e-01       4.801416679664e-01       4.800569032637e-01       1.238821961049e+00       1.475895255879e-04       9.990117245974e-01      -1.341263417578e-08       6.472821251552e-08      -1.187090755445e-11      -4.553697617631e-05      -7.928139789922e-10      -4.626370483785e-05      -1.806817926598e-08 
       3.335206687817e-04      -7.675683513481e-01      -9.811951946425e-01      -9.812261626042e-01      -7.543730354868e-01       6.051217975795e-05       5.837067680950e-09      -3.062561924824e-01       4.798490114701e-01       4.797888696288e-01       1.962452325208e+00       2.337824312769e-04       9.984632415330e-01      -1.860160642475e-08       7.941621468116e-08      -1.484269259152e-11      -1.001711520142e-04      -1.899335395492e-09      -1.014237498843e-04      -3.971456783829e-08 
       4.198776452879e-04      -8.822869937596e-01      -1.553905971507e+00      -1.553980406971e+00      -8.570349715310e-01       9.582907586469e-05       9.242538136190e-09      -4.849898999772e-01       4.794131051448e-01       4.793817328642e-01       3.107960813941e+00       3.702051631693e-04       9.976328368909e-01      -2.393009830175e-08       8.168119650500e-08      -1.588207817366e-11      -2.044747092212e-04      -4.435958297888e-09      -2.059036843767e-04      -8.097336031551e-08 
       5.285946374972e-04      -8.355602604474e-01      -2.459926772344e+00      -2.460101459456e+00      -7.954163690732e-01       1.516958170721e-04       1.462856521270e-08      -7.677317807685e-01       4.787802024571e-01       4.787756718153e-01       4.920202918911e+00       5.859944309746e-04       9.964000525981e-01      -2.754648236889e-08       5.974873020463e-08      -1.288619328989e-11      -3.735963703320e-04      -9.984019218728e-09      -3.730211977567e-04      -1.477271806234e-07 
       6.654612216834e-04      -6.052188598243e-01      -3.891996106641e+00      -3.892391824189e+00      -5.606853384345e-01       2.399912366250e-04       2.314013902515e-08      -1.214640487254e+00       4.778856754616e-01       4.778961880529e-01       7.784783648379e+00       9.270364384743e-04       9.946107604961e-01      -2.746357369192e-08       1.877693953016e-08      -6.355873526502e-12      -5.908431496540e-04      -2.135589657822e-08      -5.832604863292e-04      -2.334231667518e-07 
       8.377660425408e-04      -4.110274085850e-01      -6.152879664776e+00      -6.153732105684e+00      -3.930157566428e-01       3.793729264676e-04       3.657746790806e-08      -1.920244100910e+00       4.766445277350e-01       4.766531421198e-01       1.230746421137e+01       1.465436026089e-03       9.920666923887e-01      -2.458431683030e-08       6.225654119327e-10      -2.899582291728e-12      -8.352688293545e-04      -4.284772221783e-08      -8.196060152402e-04      -3.311538598831e-07 
       1.054684960093e-03      -4.433482512559e-01      -9.716689166149e+00      -9.718405300852e+00      -4.602988724420e-01       5.990567014337e-04       5.776211506820e-08      -3.032549131836e+00       4.749257661288e-01       4.749274034924e-01       1.943681060170e+01       2.314131060567e-03       9.884977552298e-01      -2.359223211176e-08       2.197734164772e-08      -5.783656098395e-12      -1.256608749926e-03      -8.003473808847e-08      -1.251966394406e-03      -5.036374803078e-07 
       1.327769697698e-03      -3.118319616535e-01      -1.532271075306e+01      -1.532588711551e+01      -3.028566250971e-01       9.446001378756e-04       9.109296044948e-08      -4.782258575070e+00       4.725410414549e-01       4.725435506602e-01       3.065177423102e+01       3.649183415094e-03       9.835383166394e-01      -2.387885927173e-08       1.318369869429e-09      -2.315960535724e-12      -2.003201811790e-03      -1.388355520786e-07      -2.016065887659e-03      -8.078492892379e-07 
       1.671563013442e-03      -2.718578503857e-01      -2.411709505232e+01      -2.412246399969e+01      -2.527228738906e-01       1.486629668218e-03       1.433849186852e-07      -7.527086400485e+00       4.692725710026e-01       4.692734904011e-01       4.824492799938e+01       5.743492608059e-03       9.767372027127e-01      -2.255001576131e-08       6.417096910274e-09      -2.618448907590e-12      -3.004220589335e-03      -2.233621981950e-07      -2.992625127786e-03      -1.208936823347e-06 
       2.104373155038e-03      -1.142898303919e-01      -3.786341246909e+01      -3.787192139639e+01      -1.197498157741e-01       2.333816299753e-03       2.251259515286e-07      -1.181738617820e+01       4.648523581179e-01       4.648534620178e-01       7.574384279278e+01       9.017003051427e-03       9.675371262107e-01      -2.226484858687e-08      -1.337732387546e-08       7.834629789375e-13      -4.696145777206e-03      -3.406352438754e-07      -4.696436295322e-03      -1.891419927753e-06 
       2.649248840774e-03      -1.170699639708e-01      -5.924873928745e+01      -5.926249913704e+01      -9.576882301810e-02       3.651786224095e-03       3.522982885045e-07      -1.849197880716e+01       4.589591200040e-01       4.589595695356e-01       1.185249982741e+02       1.410971498461e-02       9.552704093539e-01      -2.182443189261e-08      -6.421091145328e-09       7.041162425355e-15      -7.299864609574e-03      -5.213788137324e-07      -7.291573462543e-03      -2.937438852088e-06 
       3.335206687817e-03      -6.042484176855e-02      -9.231838810738e+01      -9.234256759952e+01      -7.341089578604e-02       5.689956695201e-03       5.489692929614e-07      -2.881397902266e+01       4.512237522643e-01       4.512241243391e-01       1.846851351990e+02       2.198540699479e-02       9.391699572010e-01      -2.116503686949e-08      -1.349831646566e-08       1.152868689643e-12      -1.123829871867e-02      -8.300875996977e-07      -1.113792223431e-02      -4.512463157430e-06 
       4.198776452879e-03       7.287875234624e-03      -1.430745995234e+02      -1.431181400437e+02      -2.820349987322e-01       8.818348774671e-03       8.508451595679e-07      -4.465736907171e+01       4.412458640709e-01       4.412461163233e-01       2.862362800874e+02       3.407391743923e-02       9.184019263835e-01      -2.045439180278e-08      -1.183730629660e-08       6.378580050094e-13      -1.716038278761e-02      -1.303522856122e-06      -1.706867495696e-02      -6.905756547677e-06 
       5.285946374972e-03       1.358706959404e-01      -2.202474264350e+02      -2.203284981074e+02       1.395380573280e-01       1.357512711415e-02       1.309875961776e-06      -6.874872741368e+01       4.285991358199e-01       4.285991358199e-01       4.406569962147e+02       5.245579893073e-02       8.920807016930e-01      -1.980459773553e-08      -9.040534058958e-09       2.037217441658e-12      -2.622918570699e-02      -2.028205853601e-06      -2.622789946536e-02      -1.058303686902e-05 
       6.654612216834e-03       1.308634396404e-01      -3.362122210351e+02      -3.363714934256e+02       1.343960093948e-01       2.072455040319e-02       1.999755099708e-06      -1.049557195769e+02       4.128500842504e-01       4.128500842504e-01       6.727429868512e+02       8.008135030378e-02       8.592979060111e-01      -1.913075056816e-08      -8.707330778344e-09       1.962132548392e-12      -4.004191411284e-02      -3.174102474872e-06      -4.004067515189e-02      -1.616839019255e-05 
       8.377660425408e-03       1.247543402265e-01      -5.078933295073e+02      -5.082196480263e+02       1.281218710606e-01       3.131109429557e-02       3.021425355876e-06      -1.585722064293e+02       3.935618735242e-01       3.935618735242e-01       1.016439296053e+03       1.209911154785e-01       8.191534559118e-01      -1.831757417217e-08      -8.300792192565e-09       1.870522086858e-12      -6.049673881686e-02      -4.970899557051e-06      -6.049555773927e-02      -2.445500345014e-05 
       1.054684960093e-02       1.173852248541e-01      -7.572302310917e+02      -7.579214664903e+02       1.205538026730e-01       4.669269598174e-02       4.505735292925e-06      -2.364730751291e+02       3.703116344700e-01       3.703116344700e-01       1.515842932981e+03       1.804297763834e-01       7.707612708470e-01      -1.735475110508e-08      -7.810395986016e-09       1.760014931109e-12      -9.021599948955e-02      -7.814514530756e-06      -9.021488819171e-02      -3.653083602211e-05 
       1.327769697698e-02       1.086325036222e-01      -1.110228142513e+03      -1.111718860557e+03       1.115647712100e-01       6.848435487430e-02       6.608395517741e-06      -3.468355859733e+02       3.426960283605e-01       3.426960283605e-01       2.223437721113e+03       2.646368697998e-01       7.132829891755e-01      -1.623355635039e-08      -7.227913649082e-09       1.628756847403e-12      -1.323194633152e-01      -1.235049180421e-05      -1.323184348999e-01      -5.371721020812e-05 
