# Matter power spectrum P(k) at redshift z=0.5
# for k=1.05468e-05 to 33.386 h/Mpc,
# number of wavenumbers equal to 127
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054684960093e-05       3.005803287081e+01 
       1.327769697698e-05       3.751024414399e+01 
       1.671563013442e-05       4.681002292417e+01 
       2.104373155038e-05       5.841538188606e+01 
       2.649248840774e-05       7.289782501846e+01 
       3.335206687817e-05       9.097045859269e+01 
       4.198776452879e-05       1.135229680074e+02 
       5.285946374972e-05       1.416652082233e+02 
       6.654612216834e-05       1.767813820586e+02 
       8.377660425408e-05       2.205972594701e+02 
       1.054684960093e-04       2.752633061111e+02 
       1.327769697698e-04       3.434568998610e+02 
       1.671563013442e-04       4.285069982511e+02 
       2.104373155038e-04       5.345441289506e+02 
       2.649248840774e-04       6.666770648638e+02 
       3.335206687817e-04       8.311941423771e+02 
       4.198776452879e-04       1.035780956999e+03 
       5.285946374972e-04       1.289737238371e+03 
       6.654612216834e-04       1.604165770424e+03 
       8.377660425408e-04       1.992096864586e+03 
       1.054684960093e-03       2.468487437514e+03 
       1.327769697698e-03       3.049944499592e+03 
       1.671563013442e-03       3.753890166031e+03 
       2.104373155038e-03       4.596938338421e+03 
       2.649248840774e-03       5.592254491849e+03 
       3.335206687817e-03       6.745582861912e+03 
       4.198776452879e-03       8.049907421738e+03 
       5.285946374972e-03       9.478206725514e+03 
       6.654612216834e-03       1.097488268270e+04 
       8.377660425408e-03       1.244603347703e+04 
       1.054684960093e-02       1.375087291438e+04 
       1.327769697698e-02       1.469620053173e+04 
       1.671563013438e-02       1.504673281274e+04 
       2.104373132428e-02       1.457467952742e+04 
       2.649232896307e-02       1.318173754384e+04 
       3.333132935319e-02       1.109093067438e+04 
       4.133545393569e-02       9.035146959787e+03 
       4.798041502434e-02       7.877055163827e+03 
       5.281907513931e-02       7.300283372564e+03 
       5.682579122517e-02       6.935472544117e+03 
       6.041105587216e-02       6.657112696146e+03 
       6.375917871796e-02       6.412293618745e+03 
       6.696825727974e-02       6.174174132667e+03 
       7.009734635676e-02       5.928544559139e+03 
       7.318535340287e-02       5.668667643583e+03 
       7.625976431521e-02       5.392985550958e+03 
       7.934112594001e-02       5.103904032644e+03 
       8.244554372545e-02       4.806669086648e+03 
       8.558616489874e-02       4.508500776647e+03 
       8.877410532767e-02       4.217542303897e+03 
       9.201905333623e-02       3.941949128188e+03 
       9.532967678636e-02       3.688921834767e+03 
       9.871390541466e-02       3.463988347517e+03 
       1.021791312674e-01       3.270329019061e+03 
       1.057323536993e-01       3.108530215565e+03 
       1.093802858263e-01       2.976394995785e+03 
       1.131294335364e-01       2.869052034593e+03 
       1.169861545600e-01       2.779279178675e+03 
       1.209567028098e-01       2.698211169949e+03 
       1.250472617097e-01       2.616281750465e+03 
       1.292639692544e-01       2.524947272972e+03 
       1.336129368877e-01       2.418090695897e+03 
       1.381002638554e-01       2.293753507508e+03 
       1.427320484010e-01       2.154703319294e+03 
       1.475143969817e-01       2.007889112005e+03 
       1.524534325598e-01       1.862877415663e+03 
       1.575553029467e-01       1.729475191618e+03 
       1.628261901272e-01       1.615243639482e+03 
       1.682723214622e-01       1.523559187101e+03 
       1.738999836473e-01       1.452901910280e+03 
       1.797155402924e-01       1.397018452358e+03 
       1.857254539791e-01       1.347093903092e+03 
       1.919363136487e-01       1.293435227844e+03 
       1.983548681751e-01       1.228910699092e+03 
       2.049880669943e-01       1.152708268735e+03 
       2.118431086917e-01       1.070469873113e+03 
       2.189274985117e-01       9.908776254648e+02 
       2.262491158497e-01       9.214101369295e+02 
       2.338162929393e-01       8.656973917473e+02 
       2.416379061671e-01       8.223108708847e+02 
       2.497234817543e-01       7.850743039335e+02 
       2.580833179719e-01       7.465105629908e+02 
       2.667286266239e-01       7.025014804027e+02 
       2.756716972949e-01       6.540696674982e+02 
       2.849260888673e-01       6.064433834335e+02 
       2.945068541416e-01       5.651929117962e+02 
       3.044308051619e-01       5.316196649083e+02 
       3.147168291934e-01       5.026285663558e+02 
       3.253862684630e-01       4.737335940946e+02 
       3.364633810493e-01       4.425904289120e+02 
       3.479759061931e-01       4.110617878342e+02 
       3.599557654783e-01       3.823481312291e+02 
       3.724399428807e-01       3.577189698731e+02 
       3.854716032449e-01       3.351757631281e+02 
       3.991015329112e-01       3.125053630793e+02 
       4.133900221281e-01       2.897637904534e+02 
       4.284093633550e-01       2.686084167942e+02 
       4.442472240356e-01       2.494643211086e+02 
       4.610112866731e-01       2.312812036430e+02 
       4.788357682982e-01       2.132843156865e+02 
       4.978908005247e-01       1.961640572818e+02 
       5.183962943226e-01       1.802335358422e+02 
       5.406430773901e-01       1.647161805469e+02 
       5.650262923438e-01       1.497092824761e+02 
       5.921004154150e-01       1.353395971962e+02 
       6.226744431360e-01       1.212376461248e+02 
       6.579863679676e-01       1.074348314295e+02 
       7.000454221775e-01       9.367439279266e+01 
       7.523572056686e-01       7.978871453899e+01 
       8.215832022643e-01       6.546979703001e+01 
       9.214569678216e-01       5.045172632348e+01 
       1.079857051475e+00       3.501833463324e+01 
       1.331079242483e+00       2.146298856383e+01 
       1.673297737611e+00       1.244389799347e+01 
       2.106513564339e+00       7.124953496695e+00 
       2.651943305576e+00       4.045254252294e+00 
       3.338598817954e+00       2.279645060376e+00 
       4.203046891709e+00       1.276103685444e+00 
