# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04079e-05 to 32.9468 h/Mpc,
# number of wavenumbers equal to 127
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       1.040790400722e-05      -1.014538164717e-03      -7.611895829503e-04      -7.611896108246e-04      -1.014525052297e-03       4.238040748963e-08       7.967167688237e-12      -4.715886868836e-04       5.461317530696e-01       5.458787401273e-01       1.522379221649e-03       2.292847128149e-07       9.999984697765e-01      -3.982473008726e-11       1.563107436985e-10      -1.811695916338e-14      -9.224173068352e-11      -2.824481704942e-15      -9.470319657296e-11      -5.519061838355e-14 
       1.310277483820e-05      -1.607579939640e-03      -1.206403177281e-03      -1.206403247295e-03      -1.607547008516e-03       6.716825878655e-08       1.262711351163e-11      -7.474169889463e-04       5.461311600389e-01       5.458782285130e-01       2.412806494590e-03       3.633914792048e-07       9.999975748264e-01      -6.310746969248e-11       2.476697462077e-10      -2.870687625969e-14      -2.316643921431e-10      -7.094290537050e-15      -2.378453923879e-10      -1.386106788279e-13 
       1.649541620883e-05      -2.546952077350e-03      -1.912017853235e-03      -1.912018029091e-03      -2.546869381394e-03       1.064544509643e-07       2.001260182371e-11      -1.184574442766e-03       5.461302775723e-01       5.458774750152e-01       3.824036058182e-03       5.759358522799e-07       9.999961565241e-01      -9.999237979623e-11       3.923641820710e-10      -4.548084172046e-14      -5.817699977608e-10      -1.781816086453e-14      -5.972883086051e-10      -3.480872182572e-13 
       2.076649864342e-05      -4.034411522969e-03      -3.030338384017e-03      -3.030338825703e-03      -4.034203892101e-03       1.687187846057e-07       3.171770950836e-11      -1.877419910640e-03       5.461289110758e-01       5.458763128209e-01       6.060677651405e-03       9.127946646782e-07       9.999939089171e-01      -1.584177779784e-10       6.214387772999e-10      -7.204087433119e-14      -1.460764591239e-09      -4.474988241888e-14      -1.499714538534e-09      -8.740091905095e-13 
       2.614347285619e-05      -6.388499280309e-03      -4.802747937704e-03      -4.802749046984e-03      -6.387978122229e-03       2.674002280375e-07       5.026904290797e-11      -2.975499571912e-03       5.461266943325e-01       5.458744196104e-01       9.605498093968e-03       1.446676820319e-06       9.999903468271e-01      -2.509175138596e-10       9.838685148141e-10      -1.140731561242e-13      -3.666985438290e-09      -1.123759641295e-13      -3.764699464428e-09      -2.194033105595e-12 
       3.291268233120e-05      -1.011100790346e-02      -7.611806009920e-03      -7.611808795646e-03      -1.010970032429e-02       4.237991084427e-07       7.967060370321e-11      -4.715823056900e-03       5.461232178656e-01       5.458714553387e-01       1.522361759129e-02       2.292814926505e-06       9.999847019516e-01      -3.972821814795e-10       1.556703092673e-09      -1.805329898174e-13      -9.201938765277e-09      -2.821614789874e-13      -9.446898793706e-09      -5.505676979853e-12 
       4.143461215706e-05      -1.598955583070e-02      -1.206380671174e-02      -1.206381370629e-02      -1.598627725312e-02       6.716705564495e-07       1.262677564826e-10      -7.474009971359e-03       5.461176699768e-01       5.458667174625e-01       2.412762741258e-02       3.633833666354e-06       9.999757599774e-01      -6.286563984751e-10       2.460631153111e-09      -2.854715771086e-13      -2.307801042964e-08      -7.082818262241e-13      -2.369139363274e-08      -1.380783398215e-11 
       5.216308617236e-05      -2.525327828513e-02      -1.911961275109e-02      -1.911963030923e-02      -2.524506608833e-02       1.064512409300e-06       2.001180833737e-10      -1.184534255431e-02       5.461088916220e-01       5.458592188194e-01       3.823926061846e-02       5.759155071198e-06       9.999615982697e-01      -9.938607173019e-10       3.883365845734e-09      -4.508038893077e-13      -5.782545048945e-08      -1.777251363836e-12      -5.935858407259e-08      -3.459710248299e-11 
       6.566943473999e-05      -3.980249173082e-02      -3.030195958833e-02      -3.030200364646e-02      -3.978195574270e-02       1.687103597543e-06       3.171583954490e-10      -1.877318815322e-02       5.460949803483e-01       5.458473255234e-01       6.060400729292e-02       9.127437358854e-06       9.999391787553e-01      -1.568939047727e-09       6.113539027255e-09      -7.103792515459e-13      -1.446800428240e-07      -4.456770747882e-12      -1.485009181149e-07      -8.656035224542e-11 
       8.267292017233e-05      -6.253067271529e-02      -4.802390286906e-02      -4.802401335806e-02      -6.247945276870e-02       2.673794098637e-06       5.026433034528e-10      -2.975245860239e-02       5.460729839418e-01       5.458285019132e-01       9.604802671612e-02       1.446549094660e-05       9.999037090200e-01      -2.471043057033e-09       9.586631967517e-09      -1.115655566958e-12      -3.611588155864e-07      -1.116541798852e-11      -3.706372262199e-07      -2.160689606671e-10 
       1.040790400722e-04      -9.773261304292e-02      -7.610907984324e-02      -7.610935665981e-02      -9.760539339555e-02       4.237463581045e-06       7.965893327949e-10      -4.715186625523e-02       5.460382559873e-01       5.457987389340e-01       1.522187133196e-01       2.292494906543e-05       9.998476501213e-01      -3.877575017245e-09       1.493891536155e-08      -1.742804448476e-12      -8.982638152631e-07      -2.792898683945e-11      -9.216031341888e-07      -5.373685863512e-10 
       1.310277483820e-04      -1.515080814270e-01      -1.206155497779e-01      -1.206162422644e-01      -1.511941748139e-01       6.715390954898e-06       1.262391625259e-09      -7.472416350793e-02       5.459835307588e-01       5.457517252511e-01       2.412324845287e-01       3.633032128773e-05       9.997591932371e-01      -6.049460787590e-09       2.304829138894e-08      -2.699482357778e-12      -2.221268981158e-06      -6.969181922642e-11      -2.278059778291e-06      -1.328705552227e-09 
       1.649541620883e-04      -2.318418535431e-01      -1.911397155033e-01      -1.911414436900e-01      -2.310754149330e-01       1.064182535632e-05       2.000458966782e-09      -1.184135874437e-01       5.458975842436e-01       5.456776137365e-01       3.822828873801e-01       5.757150718047e-05       9.996199666615e-01      -9.351456558928e-09       3.499734298486e-08      -4.125253153345e-12      -5.442875215370e-06      -1.732361670732e-10      -5.578428481560e-06      -3.255303121411e-09 
       2.076649864342e-04      -3.475170881001e-01      -3.028785084234e-01      -3.028828052093e-01      -3.456768721991e-01       1.686280324737e-05       3.169784505689e-09      -1.876325786685e-01       5.457632843240e-01       5.455611319558e-01       6.057656104185e-01       9.122437461995e-05       9.994016891094e-01      -1.424713635595e-08       5.179845099621e-08      -6.169998870608e-12      -1.314554342852e-05      -4.280369413705e-10      -1.345904577342e-05      -7.860311957089e-09 
       2.614347285619e-04      -5.040426840542e-01      -4.798870269670e-01      -4.798976469391e-01      -4.997416943863e-01       2.671739224169e-05       5.021969022554e-09      -2.972781061101e-01       5.455550854547e-01       5.453789400225e-01       9.597952938782e-01       1.445306730712e-04       9.990615327234e-01      -2.121353330732e-08       7.355570309059e-08      -8.916951888937e-12      -3.103303797881e-05      -1.047672491848e-09      -3.172065001141e-05      -1.854919980901e-08 
       3.291268233120e-04      -6.936751817722e-01      -7.602158910185e-01      -7.602418978758e-01      -6.840501905504e-01       4.232356522473e-05       7.954845388638e-09      -4.709107790266e-01       5.452361406682e-01       5.450960763942e-01       1.520483795752e+00       2.289426238797e-04       9.985362346601e-01      -3.046803186250e-08       9.760096114508e-08      -1.219810146383e-11      -7.068156829571e-05      -2.527086532078e-09      -7.205553036092e-05      -4.222373349817e-08 
       4.143461215706e-04      -8.780363681949e-01      -1.203993387118e+00      -1.204056166522e+00      -8.579733208809e-01       6.702776005622e-05       1.259688812348e-08      -7.457564385397e-01       5.447558751383e-01       5.446617932621e-01       2.408112333043e+00       3.625519460591e-04       9.977356926268e-01      -4.137266698731e-08       1.156166584599e-07      -1.528064968548e-11      -1.522506286871e-04      -5.960777391472e-09      -1.545425278064e-04      -9.087111560072e-08 
       5.216308617236e-04      -9.745392626941e-01      -1.906099395334e+00      -1.906247643822e+00      -9.373939109476e-01       1.061095379775e-04       1.993944461320e-08      -1.180554212603e+00       5.440494842591e-01       5.440059212363e-01       3.812495287645e+00       5.738991262520e-04       9.965377606999e-01      -5.158946552024e-08       1.125848132651e-07      -1.664852062895e-11      -3.012753331851e-04      -1.359804233210e-08      -3.036901602787e-04      -1.795864563469e-07 
       6.566943473999e-04      -8.934092590410e-01      -3.015960655312e+00      -3.016299348254e+00      -8.374644750299e-01       1.678818842598e-04       3.154345375826e-08      -1.867831367159e+00       5.430395910440e-01       5.430377415928e-01       6.032598696507e+00       9.079290726783e-04       9.947856747937e-01      -5.699170511928e-08       7.721958300297e-08      -1.476527187901e-11      -5.283043036477e-04      -2.956830733098e-08      -5.268328271428e-04      -3.144304754223e-07 
